gene_symbol	SRR2056323.3most_areads	SRR2056323.3most_aRPKM	SRR2056323.3most_creads	SRR2056323.3most_cRPKM	SRR2056323.3most_3UTR_RE	SRR2056324.3most_areads	SRR2056324.3most_aRPKM	SRR2056324.3most_creads	SRR2056324.3most_cRPKM	SRR2056324.3most_3UTR_RE	SRR2056325.3most_areads	SRR2056325.3most_aRPKM	SRR2056325.3most_creads	SRR2056325.3most_cRPKM	SRR2056325.3most_3UTR_RE	SRR2056326.3most_areads	SRR2056326.3most_aRPKM	SRR2056326.3most_creads	SRR2056326.3most_cRPKM	SRR2056326.3most_3UTR_RE
FOSL1	110	9.8886592373337	107	23.7294388963801	-1.2628311568667	55	5.14197428248743	63	14.5300371704459	-1.49864409396547	277	16.6778868113534	193	28.66668849078	-0.781438755209103	218	12.7197654737391	168	24.181924292102	-0.926856981992044
FOSL2	0	0	1199	13.2268185519222	-Inf	0	0	1110	12.7344934981816	-Inf	0	0	1844	13.6242830044716	-Inf	1	5.80558103044512	1944	13.9190744376386	-1.26155091465846
FOXA1	965	33.5862871708769	296	58.1899684031873	-0.792898142468689	1006	36.4128899719946	242	49.4759635356702	-0.442278556464249	1493	34.8025461578387	390	51.3496566600204	-0.561161772610251	1557	35.1723333245255	338	43.1271733690209	-0.294156116198329
FOXA2	0	0	231	14.6541514017083	-Inf	0	0	195	12.8648814978675	-Inf	0	0	352	14.9557392447152	-Inf	0	0	342	14.0816220738456	-Inf
FOXI1	0	0	1	0.0482196321546044	-Inf	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	NA
FOXJ2	1035	22.1743897639351	49	16.035085846437	0.467662324806992	952	21.2114696541901	38	12.9324643650233	0.713847366399871	1620	23.2457128353146	64	14.0272232827373	0.7287352143075	1806	25.1134834514584	57	12.106760441538	1.05264927985163
FOXJ3	0	0	3874	65.7323988549483	-Inf	0	0	3829	67.5659233639162	-Inf	0	0	5728	65.0937664698128	-Inf	0	0	6311	69.5017803663721	-Inf
FOXK2	3658	118.765391561511	153	81.2997320789647	0.546791990515546	3377	114.024912827588	123	67.9712535620764	0.746352432127718	5038	109.552147112661	232	82.5661806097754	0.40799488506615	5042	106.249508368437	184	63.4590243327862	0.743558920261008
FOXL2NB	42	0.712638294245697	8	1.67061324787781	-1.22913586854476	30	0.529375215700571	5	1.08587147033781	-1.03649079060236	59	0.670483977255404	3	0.419588634186937	0.676227257317169	35	0.385447997595155	4	0.542155426967637	-0.492170274378549
FOXM1	2	26.8342252940374	4629	259.865332397697	-3.27561803931114	1	13.9534483938409	3929	229.385350374062	-4.03907964447794	0	0	7958	299.213804801579	-Inf	0	0	7441	271.125492348591	-Inf
