,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,transcript_id,gene_id,gene_name,transcript_name,CP209,GZ209,CP334,GZ334,CP336,GZ336
830,303.65708858501,-1.42031839984766,0.33568020199454,-4.23116523229084,2.32483807437065e-05,0.000325057178952667,ENST00000628067.3,ENSG00000177542.11,SLC25A22,SLC25A22-228,682,112,465,205,353,151
831,140.815489606956,1.28672797235067,0.304191453035044,4.229993839447,2.3369771177002e-05,0.000326361244896641,ENST00000491614.6,ENSG00000165609.13,NUDT5,NUDT5-207,102,99,94,270,79,234
832,8.74235536896787,5.75006979151569,1.3595379657382,4.22942936234481,2.34284825735474e-05,0.000326787908973579,ENST00000695401.1,ENSG00000138835.23,RGS3,RGS3-233,0,8,1,26,0,19
833,26.1740573580425,2.23420846243775,0.528551297749485,4.22704186320376,2.36783627350583e-05,0.000329876830180493,ENST00000337130.10,ENSG00000169764.16,UGP2,UGP2-201,16,25,8,47,7,53
834,14.5358552620834,2.99589045730606,0.709002154822325,4.22550261226896,2.38408059100525e-05,0.000331741669767577,ENST00000395913.7,ENSG00000087586.18,AURKA,AURKA-206,5,10,3,31,3,39
835,10.4993731793233,3.72514191318653,0.881720633587427,4.22485509727743,2.39094570673204e-05,0.000332298502115273,ENST00000339431.9,ENSG00000128606.13,LRRC17,LRRC17-202,2,10,2,28,1,21
836,237.292168910412,1.54436375507929,0.365597707338716,4.22421619194807,2.3977379733478e-05,0.000332843889721306,ENST00000394128.7,ENSG00000008838.21,MED24,MED24-204,133,119,162,525,113,487
837,31.8035011078624,1.98889815435225,0.471054134266277,4.22222842274847,2.4189877537247e-05,0.000335392507550479,ENST00000239440.9,ENSG00000120318.16,ARAP3,ARAP3-201,19,25,11,66,13,62
838,12.5889084047156,3.28759487779189,0.778932580843502,4.22064111663139,2.43608501744137e-05,0.00033735998362061,ENST00000376257.8,ENSG00000137310.12,TCF19,TCF19-202,2,11,5,34,1,25
839,40.703334124648,1.77425646498921,0.420839808925823,4.21599009256735,2.48684678192867e-05,0.000343979224127321,ENST00000394803.9,ENSG00000109332.20,UBE2D3,UBE2D3-208,27,36,19,81,16,68
840,54.894785507177,-2.3539027851052,0.559419340497067,-4.20776082395304,2.57913634428925e-05,0.0003563199675652,ENST00000396448.6,ENSG00000109180.15,OCIAD1,OCIAD1-203,66,4,85,35,145,20
841,126.835059998435,1.99146905336486,0.473582409997863,4.20511617687373,2.60948081071477e-05,0.000360083529231212,ENST00000583931.6,ENSG00000143401.15,ANP32E,ANP32E-208,52,159,97,213,26,172
842,47.8275425794267,1.89210687206869,0.451007790448598,4.19528644990078,2.72526948226374e-05,0.000375614635886826,ENST00000307998.11,ENSG00000172638.13,EFEMP2,EFEMP2-201,33,31,25,113,12,92
843,72.7135230089037,1.83290001226276,0.436976358279945,4.19450612723658,2.73466759902534e-05,0.000376462840885992,ENST00000381031.8,ENSG00000075234.17,TTC38,TTC38-201,30,48,40,112,36,183
844,195.410263557636,1.28196264192195,0.306408538041367,4.18383459585215,2.86632696887913e-05,0.00039411995822088,ENST00000264833.9,ENSG00000105088.9,OLFM2,OLFM2-201,148,142,111,405,121,290
845,12.6685578338811,3.28397004722744,0.786032598439682,4.1779056666941,2.94205620820506e-05,0.00040405399167124,ENST00000303088.9,ENSG00000064490.14,RFXANK,RFXANK-201,3,7,2,39,3,29
846,8.56361436252846,5.70728439391514,1.36850952704931,4.17043818921803,3.04014507626105e-05,0.000417031721158504,ENST00000360997.7,ENSG00000168309.18,FAM107A,FAM107A-201,0,9,0,28,1,14
847,98.5307868659989,-1.62481801429558,0.389631479344654,-4.17014050566053,3.04411899743268e-05,0.000417083836661231,ENST00000298282.14,ENSG00000165495.16,PKNOX2,PKNOX2-201,246,23,144,59,117,63
848,10.6351366628128,4.53753629783614,1.08867088770011,4.1679596185602,3.0733836347397e-05,0.000420101496833383,ENST00000580981.5,ENSG00000158201.10,ABHD3,ABHD3-209,2,12,1,39,0,11
849,14.2036162387579,3.07507661438804,0.737749186547744,4.16818706202536,3.0703192007411e-05,0.000420101496833383,ENST00000611428.5,ENSG00000002586.20,CD99,CD99-210,2,9,3,35,5,36
850,8.83215244644252,5.77968331158027,1.38687231653023,4.16742279926697,3.080627939064e-05,0.000420596320386325,ENST00000498523.1,ENSG00000118407.15,FILIP1,FILIP1-204,0,5,1,23,0,28
851,87.6747519120655,-1.98016671467826,0.475333487310917,-4.16584727888744,3.10198318984099e-05,0.000422517780728928,ENST00000376762.8,ENSG00000132879.14,FBXO44,FBXO44-204,160,9,115,70,185,38
852,15.7516891163531,3.30788622642031,0.794013861120868,4.16603083194384,3.09948801572937e-05,0.000422517780728928,ENST00000356509.7,ENSG00000112312.10,GMNN,GMNN-202,2,11,7,62,1,21
853,238.933922526656,-1.32192308158493,0.317349346403514,-4.16551379911803,3.10652131485695e-05,0.000422639857666059,ENST00000392452.3,ENSG00000180611.7,MB21D2,MB21D2-201,376,62,397,165,364,186
